Survey_ID,Username,iNat_ID,Year,Month,Park,Latitude,Longitude,Transect,Start_Time,Confidence,Species,Count_,FID
bw_2016_1_59,,1,2016,5,"Choa Chu Kang Park, Singapore",1.3874864578247128,103.74742889404298,CCKP1,13:30:00,4.0,Aberrant Oakblue,1,101
bw_2021_1_171,,10,2021,5,"Macritchie Reservoir Park, Singapore",1.3447620868682948,103.82234954833984,MRP3,11:23:00,5.0,Archduke,1,110
bw_2017_1_69,,100,2017,5,"Fort Canning Park, Singapore",1.294387578964233,103.8458023071289,FCP2,11:35:00,,Black Veined Tiger,1,200
bw_2017_1_81,,101,2017,5,"Gardens by the Bay (East), Singapore",1.288160681724541,103.86985778808594,GBE4,13:30:00,,Black Veined Tiger,1,501
bw_2018_1_106,,1000,2018,5,"Bishan-Ang Mo Kio Park (River Plains), Singapore",1.3634088039398191,103.84355926513672,BAMK3,10:15:00,4.0,Chocolate Pansy,1,796
bw_2018_1_107,,1001,2018,5,"Bishan-Ang Mo Kio Park (River Plains), Singapore",1.3634088039398191,103.84355926513672,BAMK4,10:55:00,4.0,Chocolate Pansy,1,1295
bw_2018_1_112,,1002,2018,5,"Macritchie Reservoir Park, Singapore",1.3447620868682948,103.82234954833984,MRP1,14:04:00,3.0,Chocolate Pansy,5,1296
bw_2018_1_119,,1003,2018,5,"Fort Canning Park, Singapore",1.294387578964233,103.8458023071289,FCP1,13:20:00,4.0,Chocolate Pansy,5,1297
bw_2018_1_123,,1004,2018,5,"Bukit Batok Nature Park, Singapore",1.3473663330078125,103.76129150390625,BBNP2,14:55:00,3.0,Chocolate Pansy,2,1298
bw_2018_1_131,,1005,2018,5,"Bukit Batok Nature Park, Singapore",1.3473663330078125,103.76129150390625,BBNP3,15:50:00,3.0,Chocolate Pansy,1,1299
bw_2018_1_133,,1006,2018,5,"Dairy Farm Nature Park, Singapore",1.3640182018279892,103.77639770507812,DFNP1,10:47:00,4.0,Chocolate Pansy,3,1300
bw_2018_1_134,,1007,2018,5,"Dairy Farm Nature Park, Singapore",1.3640182018279892,103.77639770507812,DFNP2,11:17:00,4.0,Chocolate Pansy,2,1301
bw_2018_1_136,,1008,2018,5,"Dairy Farm Nature Park, Singapore",1.3640182018279892,103.77639770507812,DFNP3,11:51:00,4.0,Chocolate Pansy,1,1302
bw_2018_1_138,,1009,2018,5,"Sun Plaza Park, Singapore",1.358841061592092,103.94374847412111,SPP1,14:10:00,4.0,Chocolate Pansy,3,1303
bw_2018_1_140,,1010,2018,5,"Kranji Coastal Nature Park, Singapore",1.442604660987839,103.73515319824219,SBWR3,15:40:00,3.0,Chocolate Pansy,1,1304
bw_2018_1_142,,1011,2018,5,"Kranji Coastal Nature Park, Singapore",1.442604660987839,103.73515319824219,SBWR4,14:45:00,3.0,Chocolate Pansy,1,1305
bw_2018_1_143,,1012,2018,5,"Kranji Coastal Nature Park, Singapore",1.442604660987839,103.73515319824219,SBWR5,15:05:00,3.0,Chocolate Pansy,2,1306
bw_2018_1_147,,1013,2018,5,"Jurong Eco-Garden, Singapore",1.3523232936859102,103.69316101074219,JEG1,14:45:00,4.0,Chocolate Pansy,10,1307
bw_2018_1_148,,1014,2018,5,"Jurong Eco-Garden, Singapore",1.3523232936859102,103.69316101074219,JEG2,16:25:00,4.0,Chocolate Pansy,1,1308
bw_2018_1_151,,1015,2018,5,"Kent Ridge Park, Singapore",1.2838852405548054,103.79129791259766,KRP2,09:45:00,4.0,Chocolate Pansy,4,1309
bw_2018_1_16,,1016,2018,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG1,11:43:00,3.0,Chocolate Pansy,1,1311
bw_2018_1_18,,1017,2018,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG3,12:19:00,4.0,Chocolate Pansy,1,1312
bw_2018_2_49,,10000,2018,9,"Bishan-Ang Mo Kio Park (River Plains), Singapore",1.3634088039398191,103.84355926513672,BAMK4,09:40:00,4.0,Group Grass Yellows,2,9042
bw_2018_2_50,,10001,2018,9,"Bishan-Ang Mo Kio Park (River Plains), Singapore",1.3634088039398191,103.84355926513672,BAMK3,10:10:00,4.0,Group Grass Yellows,4,9984
bw_2019_1_33,,10101,2019,5,"Bukit Batok Nature Park, Singapore",1.3473663330078125,103.76129150390625,BBNP2,11:20:00,4.0,Group Grass Yellows,1,10003
bw_2018_2_53,,10002,2018,9,"Mount Faber Park, Singapore",1.2718741893768313,103.8192138671875,MFP2,09:48:00,4.0,Group Grass Yellows,2,10044
bw_2019_1_34,,10102,2019,5,"Sengkang Riverside Park, Singapore",1.3993142843246418,103.88487243652344,SRP1,11:45:00,4.0,Group Grass Yellows,3,10048
bw_2018_2_54,,10003,2018,9,"Mount Faber Park, Singapore",1.2718741893768313,103.8192138671875,MFP1,10:20:00,5.0,Group Grass Yellows,1,10049
bw_2019_1_37,,10103,2019,5,"Chestnut Nature Park, Singapore",1.3760246038436814,103.78107452392578,CNP2,11:00:00,4.0,Group Grass Yellows,2,10052
bw_2018_2_55,,10004,2018,9,"Telok Blangah Hill Park, Singapore",1.2788233757019014,103.8106689453125,TBHP2,14:10:00,5.0,Group Grass Yellows,1,10056
bw_2019_1_4,,10104,2019,5,"Gardens by the Bay (South), Singapore",1.2815682888030933,103.86361694335936,GBS1,11:10:00,4.0,Group Grass Yellows,2,10060
bw_2018_2_56,,10005,2018,9,"Telok Blangah Hill Park, Singapore",1.2788233757019014,103.8106689453125,TBHP3,14:36:00,5.0,Group Grass Yellows,4,10163
bw_2018_2_59,,10006,2018,9,"Zhenghua Nature Park, Singapore",1.3849039077758654,103.77431488037111,ZP1,10:00:00,4.0,Group Grass Yellows,1,10166
bw_2019_1_41,,10105,2019,5,"HortPark, Singapore",1.2791306972503744,103.79981994628906,HP2,13:55:00,4.0,Group Grass Yellows,7,10167
bw_2018_2_6,,10007,2018,5,"Dairy Farm Nature Park, Singapore",1.3640182018279892,103.77639770507812,DFNP1,15:12:00,3.0,Group Grass Yellows,12,10178
bw_2019_1_42,,10106,2019,5,"HortPark, Singapore",1.2791306972503744,103.79981994628906,HP1,12:00:00,4.0,Group Grass Yellows,5,10184
bw_2019_1_43,,10107,2019,5,"Pulau Ubin (South), Singapore",1.4125659465789786,103.95773315429688,PU1,09:45:00,4.0,Group Grass Yellows,8,10188
bw_2018_2_60,,10008,2018,9,"Macritchie Reservoir Park, Singapore",1.3447620868682948,103.82234954833984,MRP2,11:45:00,4.0,Group Grass Yellows,2,10189
bw_2019_1_44,,10108,2019,5,"Pulau Ubin (South), Singapore",1.4125659465789786,103.95773315429688,PU2,10:40:00,4.0,Group Grass Yellows,7,10190
bw_2018_2_61,,10009,2018,9,"Macritchie Reservoir Park, Singapore",1.3447620868682948,103.82234954833984,MRP1,12:10:00,4.0,Group Grass Yellows,1,10200
bw_2019_1_47,,10109,2019,5,"Kent Ridge Park, Singapore",1.2838852405548054,103.79129791259766,KRP1,14:03:00,3.0,Group Grass Yellows,2,10203
bw_2018_2_63,,10010,2018,9,"East Coast Park, Singapore",1.3007842302322405,103.91218566894531,ECP3,09:43:00,4.0,Group Grass Yellows,1,10208
bw_2019_1_48,,10110,2019,5,"Ridge View Residential College (NUS), Singapore",1.2982598543167139,103.77616882324219,RVRC1,10:40:00,4.0,Group Grass Yellows,14,10213
bw_2019_1_50,,10111,2019,5,"Dairy Farm Nature Park, Singapore",1.3640182018279892,103.77639770507812,DFNP1,12:32:00,4.0,Group Grass Yellows,2,10218
bw_2018_2_65,,10011,2018,9,"Fort Canning Park, Singapore",1.294387578964233,103.8458023071289,FCP1,09:30:00,3.0,Group Grass Yellows,2,10222
